Model,CV_Mean_Accuracy,CV_Std_Accuracy,CV_Min_Accuracy,CV_Max_Accuracy
Random Forest,0.5857356235997011,0.019297685877605955,0.5576923076923077,0.6153846153846154
SVM,0.5664488424197163,0.014296086147033274,0.5480769230769231,0.5865384615384616
XGBoost,0.5452203136669157,0.04162627954031564,0.5096153846153846,0.5961538461538461
Logistic Regression,0.5433905899925318,0.023258744124076636,0.5,0.5631067961165048
K-Nearest Neighbors,0.5375466766243466,0.01779885877688108,0.5192307692307693,0.5673076923076923
Decision Tree,0.4373786407766991,0.02315818463944479,0.40384615384615385,0.47115384615384615
Naive Bayes,0.20617998506348018,0.011770745246648099,0.18269230769230768,0.21359223300970873
