Model,Accuracy,Precision,Recall,F1-Score
Decision Tree,0.5076923076923077,0.5488494327496884,0.5076923076923077,0.5248313772286516
XGBoost,0.5307692307692308,0.48756229473988955,0.5307692307692308,0.5064931861542031
Logistic Regression,0.5384615384615384,0.5112559041835357,0.5384615384615384,0.5022297439441477
Random Forest,0.5615384615384615,0.5252822865208187,0.5615384615384615,0.4917391304347826
K-Nearest Neighbors,0.5230769230769231,0.5244215032103738,0.5230769230769231,0.4875357975357975
SVM,0.5461538461538461,0.46629089301503085,0.5461538461538461,0.45130792046724405
Naive Bayes,0.2153846153846154,0.41720540098199677,0.2153846153846154,0.2068819585726181
